"<ID|readonly|noverify>";"<English>";"<Russian>";"<German>";"<French>";"<Spanish>";"<Japanese>";"<Korean>";"<Chinese>";"<HChinese>";"<Polish>"
"contact/incomingInvitation";"{user} sent you a friend request";"{user} прислал вам приглашение стать друзьями";"{user} hat dir eine Freundschaftsanfrage gesendet";"{user} demande à faire partie de votre liste d'amis";"{user} te ha enviado una solicitud de amistad";"{user}から\tフレンドリクエストが\t届きました";"{user} 님이 친구 요청을 보냈습니다";"{user} 向\t您\t发\t送\t了\t好\t友\t邀\t请";"{user} 向\t您\t发\t送\t了\t好\t友\t邀\t请";"{user} wyślij zaproszenie znajomemu"
"contact/mbox_add_to_friends";"Do you want to add {user} to your friends list?";"Добавить {user} в ваш список друзей?";"Möchtest du {user} deiner Freundesliste hinzufügen?";"Voulez-vous ajouter {user} à votre liste d'amis ?";"¿Quieres añadir a {user} a tu lista de amigos?";"{user}を\t友達\tリストに\t追加しますか？";"{user} 님을 친구 목록에 추가할까요?";"将 {user} 加\t入\t好\t友\t列\t表?";"是\t否\t将 {user} 加\t入\t好\t友\t列\t表?";"Czy chcesz dodać {user} to listy przyjaciół?"
"contact/removedYouFromFriends";"User {user} has removed you from their friends list";"{user} удалил вас из списка друзей";"Der Benutzer {user} hat dich von seiner Freundesliste entfernt";"L'utilisateur {user} vous a retiré de sa liste d'amis";"El usuario {user} te ha eliminado de su lista de amigos";"ユーザー「{user}」\tはあなたを\tフレンドリストから\t外しました";"{user} 님을 친구 목록에서 제거했습니다";"{user} 已\t将\t您\t从\t好\t友\t列\t表\t中\t删\t除";"{user} 已\t将\t您\t从\t好\t友\t列\t表\t中\t删\t除";"Użytkownik {user} został usunięty z listy przyjaciół"
"contact/Ready";"Ready";"Готов";"Bereit";"Prêt";"Listo";"準備完了";"준비";"准\t备\t就\t绪";"准\t备\t就\t绪";"Gotowy"
"contact/notReady";"Not ready";"Не готов";"Nicht bereit";"Pas prêt";"No está listo";"準備中";"준비되지 않음";"取\t消\t准\t备";"取\t消\t准\t备";"Niegotowy"
"contact/inBattle";"In battle";"В бою";"Im Kampf";"Au combat";"En batalla";"戦闘中";"전투 중";"战\t斗\t中";"战\t斗\t中";"W bitwie"
"tooltips/contactsButton";"Contacts";"Контакты";"Kontakte";"Contacts";"Contactos";"フレンドリスト";"연락처";"联\t系\t人";"联\t系\t人";"Kontakty"
"contacts/msg/crossnetworkChatRestricted";"Limited by option ""<color={color}>Cross-platform communication</color>"" in game settings.";"Ограничено параметром ""<color={color}>Общение с другими платформами</color>"" в настройках игры.";"Eingeschränkt durch die Option ""<color={color}>Cross-Network Communication</color>"" in den Spiel-Einstellungen.";"Limité par l'option ""<color={color}>communication multi-plateforme</color>"" dans les paramètres du jeu.";"Limitado por opción ""<color={color}>Comunicación multiplataforma</color>"" en los ajustes del juego.";"ゲーム\t内設定の ""<color={color}>クロスプラットフォーム・コミュニケーション</color>"" により\t制限されています。";"채팅 설정의 ""<color={color}>크로스 플랫폼 통신</color>""에 의해 제한되어 있습니다.";"受\t到\t游\t戏\t选\t项\t“<color={color}>\t跨\t平\t台\t通\t信\t</color>”\t的\t限\t制。";"受\t到\t聊\t天\t选\t项\t“<color={color}>\t跨\t平\t台\t通\t信\t</color>”\t的\t限\t制。";"Ograniczone przez opcję „<color={color}>Komunikacja międzyplatformowa</color>” w opcjach gry."
"Remove from friends";"Remove from friends list";"Удалить из друзей";"Von Freunden entfernen";"Retirer de vos amis";"Eliminar de la lista de amigos";"フレンドリストから\t削除";"친구 목록에서 삭제";"从\t好\t友\t列\t表\t中\t移\t除";"从\t好\t友\t列\t表\t中\t移\t除";"Usuń z listy znajomych"
"controls/dec";"Decrease";"Уменьшить";"Verringern";"Diminuer";"Disminuir";"下げる";"감소";"减\t小";"减\t少";"Zmniejsz"
"controls/inc";"Increase";"Увеличить";"Erhöhen";"Augmenter";"Aumentar";"増加";"증가";"增\t大";"增\t加";"Zwiększ"
"controls/min";"Minimum";"Минимум";"Minimum";"Minimum";"Mínimo";"最低";"최소";"最\t小\t值";"最\t低";"Minimalne"
"controls/max";"Max";"Максимум";"Maximum";"Max";"Max";"最高";"최대";"最\t大\t值";"最\t大";"Max"
"controls/X/min";"X-axis min";"X-ось в минимум";"X-Achse Min";"Axe-X minimum";"Eje X min";"X\t軸最小";"X축 최소";"X 轴\t最\t小\t值";"X 轴\t最\t小\t值";"Oś X minimalna"
"controls/X/max";"X-axis max";"X-ось в максимум";"X-Achse Max";"Axe-X maximum";"Eje X máximo";"X\t軸最大";"X축 최대";"X 轴\t最\t大\t值";"X 轴\t最\t大\t值";"Oś X maksymalna"
"controls/Y/min";"Y-axis min";"Y-ось в минимум";"Y-Achse Min";"Axe-Y minimum";"Eje Y min";"Y\t軸最小";"Y축 최소";"Y 轴\t最\t小\t值";"Y 轴\t最\t小\t值";"Oś Y minimalna"
"controls/Y/max";"Y-axis max";"Y-ось в максимум";"Y-Achse Max";"Axe-Y maximum";"Eje Y máximo";"Y\t軸最大";"Y축 최대";"Y 轴\t最\t大\t值";"Y 轴\t最\t大\t值";"Oś Y maksymalna"
"controls/tab/Movement";"Movement";"Движение";"Bewegung";"Mouvement";"Movimiento";"移動";"이동";"动\t作";"移\t动";"Poruszanie"
"controls/tab/Weapon";"Weapon";"Вооружение";"Waffe";"Arme";"Arma";"武器";"무기";"武\t器";"武\t器";"Broń"
"controls/tab/View";"View";"Обзор";"Sicht";"Vue";"Vista";"表示";"시점";"查\t看";"查\t看";"Widok"
"controls/tab/Squad";"Squad";"Отряд";"Squad";"Ma section";"Escuadrón";"分隊";"분대";"小\t队";"队\t伍";"Oddział"
"controls/tab/Other";"Other";"Другое";"Sonstiges";"Divers";"Otros";"その\t他";"기타";"其\t他";"其\t他";"Inne"
"controls/tab/UI";"Interface";"Интерфейс";"Interface";"Interface";"Interfaz";"インターフェース";"인터페이스";"界\t面";"界\t面";"Interfejs"
"controls/tab/VoiceChat";"Voice Chat";"Голосовой чат";"Voice-Chat";"Chat vocal";"Chat de Voz";"ボイスチャット";"음성 대화";"语\t音\t聊\t天";"语\t音\t聊\t天";"Czat głosowy"
"controls/tab/Spectator";"Spectator";"Зритель";"Zuschauer";"Spectateur";"Espectador";"観客";"관전자";"观\t察\t者";"观\t察\t者";"Widz"
"controls/tab/Vehicle";"Vehicles";"Техника";"Fahrzeuge";"Véhicules";"Vehículos";"乗り\t物";"차량";"地\t面\t载\t具";"地\t面\t载\t具";"Pojazdy"
"controls/tab/Plane";"Plane";"Самолёт";"Flugzeug";"Aéronef";"Avión";"飛行機";"항공기";"飞\t机";"空\t中\t载\t具";"Samolot"
"controls/tab/Replay";"Replay";"Повтор";"Replay";"Replay";"Repetición";"Replay";"리플레이";"录\t像\t回\t放";"录\t像\t回\t放";"Powtórka"
"controls/type/pc/gamepad";"Gamepad";"Геймпад";"Gamepad";"Manette";"Mando";"ゲームパッド";"게임 패드";"游\t戏\t手\t柄";"游\t戏\t手\t柄";"Gamepad"
"controls/type/ps4/gamepad";"Dualshock";"Дуалшок";"DualShock";"Dualshock";"Dualshock";"デュアルショック";"Dualshock";"PS4 手\t柄";"PS 手\t柄";"Dualshock"
"controls/type/xboxOne/gamepad";"Controller";"Контроллер";"Controller";"Manette";"Controlador";"コントローラー";"컨트롤러";"控\t制\t器";"控\t制\t器";"Kontroler"
"controls/type/pc/keyboard";"Keyboard & Mouse";"Клавиатура и мышь";"Tastatur & Maus";"Clavier et souris";"Teclado y Ratón";"キーボード＆マウス";"키보드 & 마우스";"键\t盘\t&\t鼠\t标";"键\t盘\t和\t鼠\t标";"Klawiatura i Myszka"
"controls/Vehicle.Steer";"Vehicle Steer";"Поворот машины";"Fahrzeugsteuerung";"Volant du véhicule";"Dirección del Vehículo";"乗り\t物の\tハンドル";"차량 조종";"载\t具\t转\t向";"载\t具\t转\t向";"Sterowanie Pojazdem"
"controls/Vehicle.Steer/min";"Steer left";"Поворот налево";"Steuerung links";"Virer à gauche";"Girar a la izquierda";"ハンドルを\t左に";"왼쪽으로 회전";"向\t左\t转";"向\t左\t转";"Skręć w lewo"
"controls/Vehicle.Steer/max";"Steer right";"Поворот направо";"Steuerung rechts";"Virer à droite";"Girar a la derecha";"ハンドルを\t右に";"오른쪽으로 회전";"向\t右\t转";"向\t右\t转";"Skręć w prawo"
"controls/Vehicle.Throttle";"Vehicle Throttle/Brake";"Газ/Тормоз";"Fahrzeug beschleunigen/bremsen";"Accélérateur du véhicule/frein";"Acelerador/Freno del Vehículo";"乗り\t物の\tアクセル/ブレーキ";"차량 가속/브레이크";"载\t具\t油\t门\t/\t刹\t车";"载\t具\t油\t门\t/\t刹\t车";"Pojazd Gaz/Hamulec"
"controls/Vehicle.MoveTurretYaw";"Move turret horizontally";"Перемещение башни по горизонтали";"Horizontale Turmsteuerung";"Déplacer la tourelle horizontalement";"Mover la torreta horizontalmente";"砲塔を\t水平に\t移動";"포탑 가로로 이동";"水\t平\t移\t动\t炮\t塔";"水\t平\t转\t动\t炮\t塔";"Obróć wieżyczkę horyzontalnie"
"controls/Vehicle.MoveTurretPitch";"Move turret vertically";"Перемещение башни по вертикали";"Vertikale Turmsteuerung";"Déplacer la tourelle verticalement";"Mover la torreta verticalmente";"砲塔を\t垂直に\t移動";"포탑 세로로 이동";"垂\t直\t移\t动\t炮\t塔";"垂\t直\t转\t动\t炮\t塔";"Przesuń działko pionowo"
"controls/Vehicle.NextGear";"Next gear";"Следующая передача";"Nächster Gang";"Vitesse suivante";"Siguiente marcha";"次の\tギア";"다음 기어";"下\t一\t档\t位";"下\t一\t档\t位";"Następny bieg"
"controls/Vehicle.PrevGear";"Previous gear";"Предыдущая передача";"Vorheriger Gang";"Vitesse précédente";"Marcha anterior";"前の\tギア";"이전 기어";"上\t一\t档\t位";"上\t一\t档\t位";"Poprzedni bieg"
"controls/Vehicle.NeutralGear";"Neutral gear";"Нейтральная передача";"Neutraler Gang";"Point mort";"Marcha neutra";"ニュートラルギア";"중립 기어";"空\t档";"空\t档";"Bieg neutralny"
"controls/Vehicle.AutomaticTransmission";"Automatic transmission";"Автоматическая коробка передач";"Automatikgetriebe";"Transmission automatique";"Transmisión automática";"自動\tトランスミッション";"자동 변속기";"自\t动\t换\t挡";"自\t动\t换\t挡";"Automatyczna skrzynia biegów"
"controls/Vehicle.MoveTurretToAim";"Manual turret rotation";"Ручной поворот башни";"Manuelle Turmrotation";"Rotation manuelle de la tourelle";"Rotación manual de la torreta";"手動砲塔回転";"수동 포탑 회전";"手\t动\t控\t制\t炮\t塔";"手\t动\t控\t制\t炮\t塔";"Manualny obrót działka"
"controls/Vehicle.NextCockpitView";"Next observation device";"Следующий прибор наблюдения";"Nächstes Beobachtungsgerät";"Appareil d'observation suivant";"Siguiente dispositivo de observación";"次の\t観測装置";"다음 관측 장비";"下\t一\t观\t察\t口";"下\t一\t观\t瞄\t设\t备";"Następne urządzenie obserwacyjne"
"controls/Vehicle.PrevCockpitView";"Previous observation device";"Предыдущий прибор наблюдения";"Vorheriges Beobachtungsgerät";"Appareil d'observation précédent";"Dispositivo de observación anterior";"前の\t観測装置";"이전 관측 장비";"上\t一\t观\t察\t口";"上\t一\t观\t瞄\t设\t备";"Poprzednie urządzenie obserwacyjne"
"controls/Vehicle.Throttle/max";"Throttle";"Газ";"Beschleunigen";"Accélérateur";"Acelerador";"アクセル";"가속";"油\t门";"节\t流\t阀\t（油\t门）";"Gaz"
"controls/Vehicle.Throttle/min";"Brake";"Тормоз";"Bremsen";"Frein";"Freno";"ブレーキ";"브레이크";"刹\t车";"刹\t车";"Hamulec"
"controls/Vehicle.Accel";"Vehicle Throttle";"Газ";"Fahrzeug beschleunigen";"Accélérateur du véhicule";"Acelerador del Vehículo";"乗り\t物の\tアクセス";"차량 가속";"载\t具\t油\t门";"载\t具\t油\t门";"Pojazd Gaz"
"controls/Vehicle.Accel/max";"Throttle";"Газ";"Beschleunigen";"Accélérateur";"Acelerador";"アクセル";"가속";"最\t大\t油\t门";"节\t流\t阀\t（油\t门）";"Gaz"
"controls/Vehicle.Brake";"Vehicle Brake/Reverse";"Тормоз/Задний ход";"Fahrzeug bremsen/Rückwärtsgang";"Frein du véhicule/marche arrière";"Freno/Reversa del Vehículo";"乗り\t物の\tブレーキ/バック";"차량 브레이크/후진";"载\t具\t倒\t车\t/\t刹\t车";"载\t具\t倒\t车\t/\t刹\t车";"Pojazd Hamulec/Wsteczny"
"controls/Vehicle.Brake/max";"Brake";"Тормоз";"Bremsen";"Frein";"Freno";"ブレーキ";"브레이크";"刹\t车";"刹\t车";"Hamulec"
"controls/Vehicle.HandBrake";"Hand brake";"Ручной тормоз";"Handbremse";"Frein à main";"Freno de mano";"サイドブレーキ";"핸드 브레이크";"手\t刹";"手\t刹";"Hamulec ręczny"
"controls/Vehicle.Aim";"Aiming";"Прицеливание";"Zielen";"Viser";"Apuntar";"狙う";"조준";"瞄\t准";"瞄\t准";"Celowanie"
"controls/Vehicle.NextBulletType";"Switch ammo type";"Переключение типа боеприпасов";"Munitionsart wechseln";"Changer de munitions";"Cambiar el tipo de munición";"弾薬\tタイプを\t切替";"탄약 종류 변경";"切\t换\t炮\t弹\t类\t型";"切\t换\t弹\t药\t类\t型";"Zmień typ amunicji"
"controls/Vehicle.SecondaryNextBulletType";"Switch ammo type for secondary gun";"Переключение типа боеприпасов для второго орудия";"Munitionstyp der Sekundärwaffe wechseln";"Changer de munitions pour l'armement secondaire";"Cambiar el tipo de munición del arma secundaria";"弾薬\tタイプを\t副武器に\t切替";"보조 무장 탄약 변경";"切\t换\t副\t武\t器\t弹\t药\t类\t型";"切\t换\t副\t炮\t的\t弹\t药";"Przełącz typ amunicji dla drugiego działa"
"controls/Vehicle.Shoot";"Shoot";"Огонь";"Schießen";"Tirer";"Disparar";"射撃";"사격";"射\t击";"射\t击";"Strzał"
"controls/Vehicle.ShootSecondary";"Turret 2 shoot";"Огонь из турели 2";"Geschütz 2 abfeuern";"Tirer avec la tourelle 2";"Disparar torreta 2";"砲塔\t2射撃";"2번 포탑 사격";"2 号\t炮\t塔\t射\t击";"2 号\t炮\t塔\t射\t击";"Strzelaj z wieży 2"
"controls/Vehicle.ShootMachinegun";"Machineguns shoot";"Огонь из пулеметов";"Mit den MGs schießen";"Tirer avec les mitrailleuses";"Disparar ametralladoras";"機関銃";"기관총 사격";"机\t枪\t射\t击";"机\t枪\t射\t击";"Strzał z karabinów maszynowych"
"controls/Vehicle.ShootTurret03";"Turret 3 shoot";"Огонь из турели 3";"Geschütz 3 abfeuern";"Tirer avec la tourelle 3";"Disparar torreta 3";"砲塔\t3射撃";"포탑 3 사격";"3 号\t炮\t塔\t射\t击";"3 号\t炮\t塔\t射\t击";"Strzelaj z wieży 3"
"controls/Vehicle.Zoom";"Zoom";"Приближение";"Zoom";"Zoomer";"Zoom";"ズーム";"줌";"缩\t放";"缩\t放";"Przybliż"
"controls/Vehicle.ZoomToggle";"Zoom (toggle)";"Приближение (переключение)";"Zoom (umschalten)";"Zoom (basculer)";"Zoom (alternar)";"ズーム（トグル）";"확대 (토글)";"放\t大\t视\t角 (点\t击)";"缩\t放\t（切\t换）";"Przybliż (przełącz)"
